y,?,-
Juggernaut,n,f
esta,n,f
x,n,f
muda,n,f
género dimocarpus,n,f
siria,n,f
familia Chrysochloridae,n,f
Monte Everest,n,f
Osman I,n,f
africación,n,f
en términos gráficos,adv,-
GHB,n,f
Meister Eckhart,n,f
influjo,n,f
familia Hypodermatidae,n,f
ordeñar,v,-
pretérito perfecto simple,n,f
Tribolium,n,f
mudo,adj,-
desenroscado,adj,-
ofrecer sexo,v,-
alarido,n,f
caja registradora,n,f
ª,n,f
laringe,n,f
fabricante de cinturones,n,f
criolita,n,f
familia Drosophilidae,n,f
burbuja,n,f
destripador,n,f
papiloma,n,f
remolonear,v,-
estímulo positivo,n,f
Dudley Moore,n,f
influir,v,-
programa con llamadas,n,f
laberíntico,adj,-
Littorinidae,n,f
Megapodiidae,n,f
Francisco Pizarro,n,f
Melina Mercouri,n,f
verbascum,n,f
comercio,n,f
palingenesia,n,f
ilegalidad,n,f
autoengaño,n,f
América del Sur,n,f
género Physa,n,f
skinneariano,adj,-
alarife,n,f
rascada,n,f
Dicynodontia,n,f
esofágico,adj,-
inglaterra,n,f
Fridtjof Nansen,n,f
John Doe,n,f
Cerapteryx,n,f
concentrar,v,-
actividad principal,n,f
Scleroparei,n,f
de vestuario,adj,-
bencílico,adj,-
lentamente,adv,-
modernizar,v,-
autohipnosis,n,f
Valle de la Muerte,n,f
Platycephalidae,n,f
Aggeus,n,f
familia Zapodidae,n,f
convoy,n,f
vaca,n,f
como la maleza,adj,-
arteria maxilar,n,f
esos,?,-
feromona,n,f
Fyodor Dostoevsky,n,f
Caprimulgiformes,n,f
limitación,n,f
Louis Isadore Kahn,n,f
arrugar,v,-
enloquecidamente,adv,-
minúsculo,adj,-
souvenir,n,f
prevalencia,n,f
Charles Dickens,n,f
Oriolidae,n,f
Eudora Welty,n,f
vano,adj,-
larva de mosquito,n,f
género Amphiuma,n,f
gamelan,n,f
abeto tsuga,n,f
Polimnia,n,f
pelycosauria,n,f
género Trachodon,n,f
causa perdida,n,f
Claude E. Shannon,n,f
córnea,n,f
hacer entender,v,-
fracaso,n,f
ipomoea,n,f
hendíadis,n,f
Cryptotis,n,f
género Argusianus,n,f
empleo de oficinista,n,f
rissa,n,f
scriptorium,n,f
rima visual,n,f
atresia,n,f
Jean Racine,n,f
ciempiés,n,m
bailar polca,v,-
golpe de efecto,n,f
bacteriófago,n,f
cáñamos,n,m
diócesis,n,f
rascar,v,-
casquete,n,f
córneo,adj,-
muon,n,f
pez carácido,n,f
sistema eléctrico,n,f
previo,adj,-
rendición,n,f
estandardizar,v,-
nanotecnología,n,f
Igor Yevgeneevich Tamm,n,f
musa,n,f
unidad monetaria danesa,n,f
pesimismo,n,f
esfínter uretral,n,f
paleta,n,f
muro,n,m
pulgar,n,m
sur-sudoeste,adv,-
West End,n,f
paleto,n,f
luna de cosecha,n,f
grupo benzoílo,n,f
hadrosaurus,n,f
desplazarse furtivamente,v,-
heulandita,n,f
enjabonar,v,-
europeo,adj,-
cavidad craneal,n,f
Henry Moore,n,f
Hydromyinae,n,f
telómero,n,f
enfurecer,v,-
fetoscopía,n,f
musaraña,n,f
doncella doméstica,n,f
boquiabierto,n,f
Ictalurus,n,f
bóveda,n,f
vísceras,n,f
ruso blanco,n,f
spain,?,-
Copérnico,n,f
aculturar,v,-
soldados hostiles,n,f
borrón,n,f
descarboxilación,n,f
vela mayor,n,f
mulo,n,m
sin gas,adj,-
electroforético,adj,-
ciclo,n,f
torreya,n,f
copulativo,adj,-
ambientalista,n,f
campo de internamiento,n,f
mea culpa,n,f
serbal del oeste,n,f
liante,n,f
ferula assafoetida,n,f
Adolphe Sax,n,f
sin papeles,adj,-
Haifa,n,f
mula,n,f
tragaluz,n,f
Gyrinidae,n,f
inaudible,adj,-
William Claire Menninger,n,f
solicitado,adj,-
autoanticuerpo,n,f
Megalosauridae,n,f
abogado de oficio,n,f
fosfato inorgánico,n,f
timar,v,-
frazada,n,f
dotar,v,-
familia Notoryctidae,n,f
defensivo,adj,-
suborden mixiniformes,n,f
greenockita,n,f
género Polyangium,n,f
vale,n,f
carrera de galgos,n,f
cellisca,n,f
género chloranthus,n,f
defensiva,n,f
aceleración,n,f
bicicleta,n,f
citocina,n,f
verticillium,n,f
jefe de exploradores,n,f
género Branta,n,f
vacilar,v,-
whippet,n,f
desplazador de engranajes,n,f
paternoster,n,f
fitoquímico,n,f
Grand Rapids,n,f
mal viaje,n,f
prever,v,-
Cichlidae,n,f
fitoquímica,n,f
fundulus heteroclitus,n,f
no extensible,adj,-
leche condensada,n,f
santidad,n,f
minúscula,n,f
caesalpinioidéas,n,f
sensorial,adj,-
contraer,v,-
Megatherium,n,f
europio,n,m
bipedismo,n,f
metabolito,n,f
ciudadanía,n,f
ritmo,n,f
discusión,n,f
Jacques Marquette,n,f
anunciado,adj,-
paralinguistica,n,f
Christian Johann Doppler,n,f
ancylostoma duodenale,n,f
hemiramphidae,n,f
cultivo de arándanos,n,f
visión foveal,n,f
samba,n,f
jorge,n,f
realista,adj,-
salpicar,v,-
índice facial,n,f
gran vida,n,f
pedagógico,adj,-
enrevesado,adj,-
Anzac,n,f
spang,v,-
linguística estructuralista,n,f
género elaeocarpus,n,f
admirable,adj,-
género Uma,n,f
Churchill Downs,n,f
Megachiroptera,n,f
hacer un dado,v,-
geológico,adj,-
Spalacidae,n,f
sulfametoxazol,n,f
político estafador,n,f
trincheras,n,f
encontrón,n,f
piloto de aviación,n,f
suntuosidad,n,f
género Hemachatus,n,f
Ruth St. Denis,n,f
aligátor,n,m
Robert Schumann,n,f
orden graminales,n,f
blastocisto,n,f
familia Columbidae,n,f
azul real,n,f
cautivar,v,-
Thomas J. Jackson,n,f
institución educacional,n,f
penitencia,n,f
vaya,n,f
Burkina Faso,n,f
amontonar,v,-
quiosco,n,f
cabriolé,n,f
ambiguo,adj,-
Samuel Pepys,n,f
infección respiratoria,n,f
poco realista,adj,-
hacer novillos,v,-
venta al pormayor,n,f
Hans Christian Oersted,n,f
ignorante,adj,-
regresión,n,f
azúcar de remolacha,n,f
saturno,?,-
Elizabeth Sanderson Haldane,n,f
expulsado,v,-
vara,n,f
Porifera,n,f
género Gorilla,n,f
fothergilla,n,f
somatotipo,n,f
fenitoína,n,f
samej,n,f
natalicio,n,m
caballería medieval,n,f
peso molecular,n,f
mecánica de aviones,n,f
emborracharse,v,-
objetivo inexistente,n,f
desencanto,n,f
Muscicapa,n,f
desplazamiento,n,f
poético,adj,-
alquímico,adj,-
picaza,n,f
metasequoia,n,f
de forma genérica,adv,-
marshal,n,f
simón,n,f
Aotus,n,f
prolapso uterino,n,f
absoluto,adj,-
esas,?,-
aconsejar mal,v,-
rumor,n,f
paladio,n,m
teluro,n,m
decoración,n,f
tarta de pacanas,n,f
altiplano,n,f
carta astral,n,f
falda pantalón,n,f
dosis,n,f
sinopia,n,f
Mytilus,n,f
alocución,n,f
género Uta,n,f
vate,n,f
ficobilina,n,f
cómputo,n,f
teosofía,n,f
uníos,?,-
aflojar,v,-
alejamiento,n,f
Paul Klee,n,f
álbum de sellos,n,f
Acarina,n,f
familia Ambystomatidae,n,f
Acarine,n,f
hipogonadismo,n,f
genus persoonia,n,f
normalizar,n,f
bacteriólisis,n,f
vaso,n,m
desabrochado,adj,-
culebrina,n,f
explicitar,v,-
distrito rojo,n,f
número atómico 103,n,f
ortoedro,n,f
Henry Ford,n,f
inmunoquímico,adj,-
en desventaja,adv,-
estrofa,n,f
trompetear,v,-
cazar el zorro,v,-
licopodíneas,n,f
Inspector Maigret,n,f
Sceliphron,n,f
Sphenodon,n,f
Bryan Donkin,n,f
billón,n,f
cabriola,n,f
Accipitridae,n,f
sin fin,adv,-
dominatrix,n,f
borscht,n,f
vitidáceas,n,f
ayudar,v,-
Henry Louis Gehrig,n,f
raza blanca,n,f
rumbo,n,f
llegar a pasar,v,-
stanford,n,f
rumba,n,f
inédito,adj,-
glaux,n,f
Irving Howe,n,f
artefacto,n,f
transporte público,n,f
manante,adj,-
capazo,n,f
hormona tirotrópica,n,f
elogiar,v,-
fieramente,adv,-
tonificar,v,-
Charles Goodyear,n,f
de pasteur,adj,-
hacer resistente,v,-
Reina Victoria,n,f
piojo del frijol,n,f
apasionadamente,adv,-
lecho nupcial,n,f
DeWitt Clinton,n,f
meter mano,v,-
cultura,n,f
congraciarse,v,-
tejido,n,f
fruncir,v,-
alrededor,adv,-
Goodyear,n,f
radiobiología,n,f
Josiah Wedgwood,n,f
Mustela Putorius,n,f
indiscriminado,adj,-
hallazgo fortuito,n,f
operacionalista,adj,-
maría,n,f
viaje espacial,n,f
tracción total,n,f
ciento,n,f
lechuga china,n,f
subbase,n,f
bolsero de Baltimore,n,f
familia Balaenidae,n,f
vacilante,n,f
confuciano,n,f
Gromyko,n,f
Edith Cavell,n,f
ascenso,n,f
realismo,n,f
hamburguesa de queso,n,f
novato,n,f
verbal,adj,-
saque de banda,n,f
la verdad,n,f
crecerse,v,-
zeta,n,f
máquina impresora,n,f
planificador,n,f
aliño con anchoas,n,f
familia Orycteropodidae,n,f
isotropía,n,f
hacer ingletes,v,-
omán,?,-
simún,n,f
zend,n,f
vaquita,n,f
lacear,v,-
bañar en oro,v,-
contrato,n,f
Rupicola,n,f
narcoterrorismo,n,f
Karl Jaspers,n,f
ceiba pentandra,n,f
finiquitar,v,-
programa de diagnóstico,n,f
familia Hydrobatidae,n,f
remontar,v,-
evocar,v,-
sura,n,f
contrata,n,f
surf,n,f
irse,v,-
traducir,v,-
sistema alfanumérico,n,f
metodología,n,f
cronológico,adj,-
gestión,n,f
étnico,adj,-
Centropristis,n,f
género abelia,n,f
pocos,adj,-
Arthur Schlesinger,n,f
herrete,n,f
célula cerebral,n,f
calavera,n,f
Connochaetes,n,f
concebir,v,-
comparecer,v,-
línea telefónica,n,f
cortafuegos,n,f
machacar,v,-
artritis,n,f
Australia Occidental,n,f
crucifijo,n,f
prueba de Schick,n,f
polaco,n,m
nadolol,n,f
ácido butanoico,n,f
capital de Texas,n,f
caza con beagle,n,f
encuentro,n,f
sugestivo,adj,-
repudio,n,f
encargo,n,f
resumen,n,f
añadir alcohol,v,-
rubus canadensis,n,f
falible,adj,-
orden Decapoda,n,f
premonición,n,f
McCarthy,n,f
lista de distribución,n,f
pillar,v,-
como natilla,adj,-
chateau,n,f
zozobrar,v,-
honey oil,n,f
tilde,n,f
código de acceso,n,f
género Cyanocitta,n,f
velocidad,n,f
Tipulidae,n,f
ámbar,n,m
liquidador de reclamaciones,n,f
triceratops,n,f
deshuesar,v,-
cefalópodo,adj,-
azaque,n,f
género Petromyzon,n,f
instigador,n,f
Henry John Heinz,n,f
de Sísifo,adj,-
Monte Logan,n,f
bistec con pimientos,n,f
derecho civil,n,f
dramatización,n,f
ascospora,n,f
bádminton,n,f
ácido oleoesteárico,n,f
unión,n,f
operario,n,f
blastocito,n,f
fuentes fiables,n,f
fantasmas,n,f
oreo,n,f
retrato,n,f
sin sarcasmo,adj,-
contrato de aprendizaje,n,f
gorrión,n,m
escuela de veterinaria,n,f
resina de cicuta,n,f
Administración Federal de la Vivienda,n,f
viaje,n,f
La bandera llena de estrellas,n,f
género Irena,n,f
género lolium,n,f
turbión,n,f
sistema de dirección,n,f
palabra,n,f
imitativo,adj,-
quíntuplo,adj,-
Nihil Obstat,n,f
Micropterus Pseudoplites,n,f
microcomputadora,n,f
familia Desmidiaceae,n,f
Anoplura,n,f
glosopeda,n,f
encender,v,-
Rhine,n,f
género Alectura,n,f
sumo,adj,-
bienes,n,f
Gustavus Franklin Swift,n,f
dolor de oído,n,f
sobreexplotación,n,f
espada,n,f
pronóstico médico,n,f
ridículo,adj,-
almuerzo,n,f
género Chinchilla,n,f
Elvis,n,f
Alberto,n,f
suma,n,f
saxófono,n,f
salir en estampida,v,-
oportunidad,n,f
tropas paracaídistas,n,f
cervus canadensis,n,f
salsa,n,f
casado,adj,-
nitrogenasa,n,f
código informático,n,f
sacudirse,v,-
ampulosidad,n,f
pándano,n,f
decimoctavo,adj,-
dalea,n,f
frondoso,adj,-
titular,v,-
judías verdes,n,f
graznido,n,f
Gracie Allen,n,f
sula,n,f
escuela de enfermería,n,f
orzar,n,f
shorthorn,n,f
encaminar,v,-
cristal,n,f
Mugilidae,n,f
caja de puros,n,f
Ameiurus,n,f
clintonia,n,f
oral,adj,-
turkmenistán,n,m
tacón,n,f
tolazamida,n,f
género Uca,n,f
Bassariscus,n,f
zoquete,n,f
Rapid City,n,f
omitir,v,-
género Connochaetes,n,f
radical metilo,n,f
llamarada,n,f
pasar la boca,v,-
justificar,v,-
familia Desmodontidae,n,f
equipamiento naval,n,f
Jean Lafitte,n,f
unidad monetaria papuana,n,f
salud,n,f
gratuito,adj,-
Rudolf Karl Bultmann,n,f
tardío,adj,-
infinidad,n,f
Aristide Maillol,n,f
William Golding,n,f
Gran Bretaña,n,f
lavandula,n,f
automación,n,f
género Pecari,n,f
bastonero,n,f
fibroscopio,n,f
sufí,adj,-
extracción de basuras,n,f
Jolly Roger,n,f
audio,n,f
Microdesmidae,n,f
cyanerpes,n,f
Edward G. Robinson,n,f
impasible,adj,-
notificación,n,f
eros,n,f
siganidae,n,f
Jynx,n,f
bulto,n,f
sin controversia,adj,-
salto,n,f
stent,n,f
prestigio,n,f
neoclasicista,n,f
Charles Townes,n,f
siestecita,n,f
candelilla,n,f
taxales,n,f
Smetana,n,f
geometría,?,-
forzar,v,-
alzar,v,-
Klaus Fuchs,n,f
Monte Elbert,n,f
Alfred Noyes,n,f
históricamente,adv,-
enconarse,v,-
agente biológico patógeno,n,f
crocus,n,f
ayuno de gedaliahu,n,f
puddled mire,v,-
tocador,n,f
banzai,n,f
piquete,n,f
radiolaria,n,f
confrontación,n,f
aunque,?,-
disparo a escondidas,n,f
Friedrich Engels,n,f
verbena,n,f
salva,n,f
género Tribolium,n,f
inocente,adj,-
asfixiarse,v,-
británico,adj,-
oryza,n,f
hidroxicina,n,f
picada,n,f
eternizar,v,-
pulsación,n,f
inducir,v,-
comadreja enana,n,f
equino,adj,-
género Polygonia,n,f
ópalo,n,f
antinomía,n,f
cazar al acecho,v,-
callado,adj,-
tornillo de casquete,n,f
rhizopus,n,f
langostera,n,f
unidad monetaria tunesina,n,f
Sherlock Holmes,n,f
klebsiella,n,f
programa de traducción,n,f
Carl Rogers,n,f
haya plateada,n,f
no ficticio,adj,-
conodonta,n,f
incorregible,adj,-
cefadroxilo,n,f
equipo,n,f
myanmar,n,m
revigorizar,v,-
Dracunculidae,n,f
género Molothrus,n,f
prueba de inteligencia,n,f
alojamiento,n,f
cortejo,n,f
familia Phasianidae,n,f
Bram Stoker,n,f
líder,n,f
Endamoeba,n,f
probabilístico,adj,-
warfarina,n,f
quinidina,n,f
período,n,f
Paul Dukas,n,f
Sara Teasdale,n,f
racionalizar,v,-
salpidae,n,f
piperacilina,n,f
bretón,n,m
reticulocito,n,f
orquestar,v,-
cuarto de juego,n,f
puntillismo,n,f
sobralia,n,f
botella de refresco,n,f
Erinaceus,n,f
downswing,n,f
enseñanza,n,f
las escrituras,n,f
hombrera,n,f
vejestorio,n,f
Wilhelm Eduard Weber,n,f
virrey,n,f
estañero,n,f
Maurice Ravel,n,f
relativo,adj,-
Algernon Charles Swinburne,n,f
alemán alto medio,n,f
himantoglossum hircinum,n,f
molesquin,n,f
género Lagorchestes,n,f
fabricar,v,-
retraso,n,f
leucemia crónica,n,f
Paton,n,f
acompañante,n,f
específico,adj,-
sugerir,v,-
confesionario,n,f
audaz,adj,-
familia Alligatoridae,n,f
sindical,adj,-
Orectolobidae,n,f
hygrophorus,n,f
cabalismo,n,f
monarquismo,n,f
manantial,n,m
verano,n,m
nabab,n,f
brillar intermitentemente,v,-
largar,v,-
sudamérica,n,f
republicano independiente,n,f
Megaderma,n,f
ergo,adv,-
irak,n,m
ununtrio,n,f
Oxford English Dictionary,n,f
búsqueda,n,f
evaporar,v,-
género Solenopsis,n,f
topografía,n,f
Océano Árctico,n,f
toma y daca,n,f
lisiquiton,n,f
Longhorn,n,f
peculiarmente,adv,-
Edmund Ironside,n,f
boleta electoral,n,f
jerarca,n,f
enseñar,v,-
célula de pelo,n,f
meningioma,n,f
senda,n,f
género auricularia,n,f
científico espacial,n,f
cariñoso,adj,-
lenticela,n,f
asiento de palco,n,f
Joseph Campbell,n,f
solanum lycopersicum,n,f
abstracción,n,f
Bacillariophyceae,n,f
reverendo,n,f
género Aneides,n,f
dolce far niente,n,f
delirio,n,f
género chrysopsis,n,f
blandura,n,f
tenazmente,adv,-
sellar,v,-
fliscorno,n,f
magnate,n,f
precisar,v,-
doma de potro,n,f
recochinearse,v,-
lengua muskogee,n,f
franela de algodón,n,f
mantra,n,f
género lythrum,n,f
sostén,n,m
transacción,n,f
perro guía,n,f
22,n,f
Roland de Lassus,n,f
perdonar,v,-
epiglotitis,n,f
colchón de plumas,n,f
ultramontano,adj,-
agente indígena,n,f
Lycaeon,n,f
puntillas,n,f
sojuzgador,n,f
ratificado,adj,-
Bouncing Betty,n,f
Dorothy L. Sayers,n,f
Phnom Penh,n,f
confirmación,n,f
establecer,v,-
similitud,n,f
orto,n,f
cetosis,n,f
ciencia,n,f
Hemiprocnidae,n,f
rabona,n,f
Bufo,n,f
tronera lateral,n,f
figura,n,f
Epilachna Varivestis,n,f
tren subterráneo,n,f
pensión,n,f
resina epoxi,n,f
escala completa,n,f
chapati,n,f
Mobula,n,f
peso atómico,n,f
volar en bandada,v,-
GUI,n,f
tatuaje,n,m
género Numenius,n,f
paralipsis,n,f
orden Embioptera,n,f
género Lophius,n,f
género Arizona,n,f
fundamentalista,adj,-
incomprendido,adj,-
criptógama,n,f
pereza,n,f
Hermanos Marx,n,f
Judas Iscariot,n,f
máster en educación,n,f
dar de mamar,v,-
narrador,n,f
Tonga,n,f
salar,v,-
Thomas Hardy,n,f
organofosforado,n,f
carrera de autos,n,f
criptógamo,adj,-
Jupiter Fulgur,n,f
liberalismo,n,f
descongelar,v,-
tigón,n,f
whist,n,f
Robert Charles Benchley,n,f
preposición,n,f
volver en sí,v,-
fibra nerviosa,n,f
localidad,n,f
marido,n,m
desorganizar,v,-
compromiso matrimonial,n,f
encontrarse,v,-
de Demóstenes,adj,-
amerindio,adj,-
coclea,n,f
Queens,n,f
habitar,v,-
palacio,n,m
germinación,n,f
abelia,n,f
hordeum vulgare,n,f
pickles dill,n,f
fundamentalismo,n,f
litofítico,adj,-
sarantontón,n,f
inicuo,adj,-
conversación criminal,n,f
probar,v,-
género Catostomus,n,f
sobresalir,v,-
irritabilidad,n,f
principio de realidad,n,f
género mirto,n,f
ludita,n,f
configurar,v,-
círculo social,n,f
epididimitis,n,f
pasar una esponja,v,-
capa de hojaldre,n,f
en términos patológicos,adv,-
conducir,v,-
pastizal para vacas,n,f
aquelarre,n,f
crucial,adj,-
selenio,n,m
bulbo,n,f
Callimorpha,n,f
guardiamarina,n,f
niño indio norteamericano,n,f
saldo,n,f
Óscar,n,f
hermenéutico,adj,-
Luvarus,n,f
hielero,n,f
Hemigrammus,n,f
de vuelta,adv,-
Capricornis,n,f
romantizar,v,-
relish,n,f
Bruchidae,n,f
Mikhail Ilarionovich Kutuzov,n,f
plomo,n,m
boselaphus tragocamelus,n,f
damas,n,f
enojo,n,m
Quai d'Orsay,n,f
dar nuevo énfasis,v,-
McCullers,n,f
Chondrichthyes,n,f
quemador del establo,n,f
conducto,n,f
hopper,n,f
cuprita,n,f
juzgado,n,f
Potamogale,n,f
arcilla endurecida,n,f
autoritario,adj,-
manzana podrida,n,f
género Dendroaspis,n,f
aclocarse,v,-
familia Staphylinidae,n,f
conexión,n,f
mezcolanza,n,f
fabricante de herramientas,n,f
Edward Calvin Kendall,n,f
género Catharacta,n,f
rueda dentada,n,f
hidroala,n,f
fulana,n,f
viejuja,n,f
familia Otididae,n,f
educador,n,f
alimento,n,m
conducta,n,f
bergantín,n,f
Don Budge,n,f
gremio,n,f
terapia ocupacional,n,f
Hugo Alvar Henrik Aalto,n,f
reir a carcajadas,v,-
jabalí,n,m
Max Planck,n,f
Lunda,n,f
desarmar,v,-
Grandes Llanuras,n,f
familia Calliphoridae,n,f
masía,n,f
aguileña,?,-
fuego de artillería,n,f
elaeocarpus,n,f
thelypteris palustris pubescens,n,f
chanclo de goma,n,f
sapiencia,n,f
techno,n,f
meditación,n,f
perfil,n,f
Big Ben,n,f
tetrahidrocannabinol,n,f
circunspección,n,f
petabyte,n,f
orquídea,n,f
piroxicam,n,f
inicio,n,f
Robert Edwin Peary,n,f
Diatomophyceae,n,f
Jupiter Pluvius,n,f
imitador,n,f
Alan Jay Lerner,n,f
pobre,adj,-
Lucio Anneo Séneca,n,f
Pelecanoididae,n,f
base de operaciones,n,f
Villa,n,f
tequila margarita,n,f
Cecil Frank Powell,n,f
dimocarpus,n,f
afectar,v,-
tétanos,n,f
corteza,n,f
hacia el proscenio,adj,-
solenostemon,n,f
telégrafista,n,f
gleicheniáceas,n,f
míster,n,f
familia geastráceas,n,f
personal militar,n,f
salir,v,-
Consejo Privado de la Reina,n,f
ambiental,adj,-
ámbar líquido,n,f
capitanear,v,-
inmueble,n,f
dar bocinazos,v,-
agrupar,v,-
página derecha,n,f
organizar,v,-
incidente,n,f
Sidney Webb,n,f
sendero,n,f
sistema infalible,n,f
aneurisma cerebral,n,f
Guillermo y María,n,f
punto fuerte,n,f
perorata,n,f
roncamente,adv,-
gregoriano,adj,-
techie,n,f
Musophaga,n,f
Rene Descartes,n,f
sub iúdice,adj,-
estar al mando,v,-
familia Syngnathidae,n,f
Mark Hopkins,n,f
murmurador,n,f
asiento de bicicleta,n,f
jefe de estado,n,f
encabezar,v,-
halogeton,n,f
Pternohyla,n,f
enjambre,n,f
cocinero,n,f
ofensivo,adj,-
poner en marcha,v,-
H2O,n,f
organizativo,adj,-
muqataa,n,f
bulla,n,f
oxigenación,n,f
Mirounga,n,f
reñir,v,-
hemostasia,n,f
OPEP,n,f
clorambucil,n,f
género pontederia,n,f
insolucionables,adj,-
marino,adj,-
estomatitis,n,f
ananas comosus,n,f
manual,adj,-
Lepisosteus,n,f
género Anastomus,n,f
Serzone,n,f
despejar,v,-
oxitocina,n,f
John Foster Dulles,n,f
Cabo Cañaveral,n,f
George Frideric Handel,n,f
Francis Drake,n,f
poema banal,n,f
Felix Mendelssohn,n,f
hasta la vista,n,f
árbol familiar,n,f
Chamaeleo chamaeleon,n,f
cazar,v,-
Rutilus,n,f
sospechoso de robo,n,f
DM,n,f
Hogg,n,f
contribuir,v,-
Globicephala,n,f
aclararse,v,-
formalidad,n,f
envilecimiento,n,f
DE,n,f
dar una permanencia,v,-
carpetbagger,n,f
fermio,n,m
género Dama,n,f
EV,n,f
arañar,v,-
matemáticas,n,f
vinculante,adj,-
familia Akeridae,n,f
almófar,n,f
cubierto de trastos,adv,-
feminidad,n,f
glositis,n,f
enchufar,v,-
constelar,v,-
bueyes,n,f
espectral,adj,-
movilidad,n,f
zoospora,n,f
fastidioso,adj,-
género Sagittarius,n,f
sufrir,v,-
boxeador profesional,n,f
rival,n,f
Lupus,n,f
pitorrearse,v,-
preponderante,adj,-
Bull Shot,n,f
epígono,n,f
autoorganización,n,f
columpiar,v,-
paramagnético,adj,-
derecho militar,n,f
Federación Americana del Trabajo,n,f
maniobra,n,f
rata arrocera,n,f
ardilla de Douglas,n,f
Gimlet,n,f
género chrysobalanus,n,f
Arctonyx Collaris,n,f
Alaudidae,n,f
sitio,n,m
onza,n,f
magnanimidad,n,f
Gb,n,f
nevar,v,-
podredumbre,n,f
driade,n,f
familia Bufonidae,n,f
genealógico,adj,-
xantelasma,n,f
género lycopersicon,n,f
Gobiidae,n,f
circuito,n,f
estirarse,v,-
poner asiento,v,-
IOU,n,f
testamentario,adj,-
arroz frito,n,f
nefrología,n,f
Eumops,n,f
género Denisonia,n,f
misología,n,f
homenaje,n,f
pretor,n,f
isomerización,n,f
víbora,?,-
incremento,n,f
reincidencia,n,f
Lepidoptera,n,f
amenaza,n,f
Synercus,n,f
cielo,n,m
chisinau,n,m
costado,n,f
alejarse,v,-
mallas,n,f
Miguel,n,f
AR,n,f
eolito,n,f
monitor,n,f
hoja de cálculo,n,f
Río Snake,n,f
bastantes probabilidades,n,f
tonalidad,n,f
crepis,n,f
veneración del sol,n,f
puercoespín americano,n,f
exigencia,n,f
Aepyceros,n,f
aspirante al título,n,f
bordador,n,f
AM,n,f
disparate,n,f
ghettizar,v,-
género Micropogonias,n,f
bolsa de compras,n,f
sensualmente,adv,-
James Albert Michener,n,f
manejabilidad,n,f
polivinilo formaldehído,n,f
Mordecai Richler,n,f
progenitor,n,f
variedad Clingstone,n,f
Comisario Maigret,n,f
Edward Everett Hale,n,f
sacar ventaja,v,-
reina madre,n,f
Astacidae,n,f
L. Ron Hubbard,n,f
hardball,n,f
sempiterno,adj,-
género Streptopelia,n,f
empresa,n,f
literalidad,n,f
lates calcarifer,n,f
sandhi,n,f
panthera leo,n,f
rinopatía,n,f
firma del rey,n,f
Joseph Conrad,n,f
doctora,n,f
ebanista,n,m
subvención,n,f
lance,n,f
concurrencia,n,f
Pedipalpi,n,f
MD,n,f
Chelonidae,n,f
extraño al acorde,adj,-
exotoxina,n,f
bubónico,adj,-
enterobiasis,n,f
lesbio,n,f
importante,adj,-
hidroflumetiazida,n,f
transfer,n,f
klistrón,n,f
alacrán,n,m
género Sepia,n,f
fénix,n,m
regordete,n,f
llevar a pastar,v,-
dejar sin sentido,v,-
género Numida,n,f
reconocimiento interescolar,n,f
gorila de montaña,n,f
Regina,n,f
NJ,n,f
distinto,adj,-
vitaminizar,v,-
creyente,n,f
John Scott Haldane,n,f
catecumenado,n,f
